SeqNo;Type;DHID;Parent;Name;Latitude;Longitude;MunicipalityCode;Municipality;DistrictCode;District;Description;Authority;DelfiName;THID;TariffProvider;LastOperationDate;SEV
246284;Q;de:09671:99240:0:1;de:09671:99240;Schimborn, Schule;50,054606;9,18478;00000000;-;-;-;;BEG;-;-;-;;nein
246285;S;de:09671:99241;de:09671:99241;Schimborn, Abzweigung;50,054485;9,192739;09671143;Mömbris;;;;BEG;-;D925C70183A9;-;2026-12-12T00:00:00;nein
246286;Q;de:09671:99241:0:1;de:09671:99241;Schimborn, Abzw., Mast 1;50,054491;9,19246;00000000;-;-;-;;BEG;-;-;-;;nein
246287;Q;de:09671:99241:0:2;de:09671:99241;Schimborn, Abzw., Mast 2;50,054519;9,193287;00000000;-;-;-;;BEG;-;-;-;;nein
246288;S;de:09671:99242;de:09671:99242;Schimborn, Gasthaus Rose;50,056377;9,187762;09671143;Mömbris;;;;BEG;-;D925C70183AA;-;2026-12-11T00:00:00;nein
246289;Q;de:09671:99242:0:1;de:09671:99242;Schimborn, Gasthaus Rose, Mast 1;50,056411;9,187735;00000000;-;-;-;;BEG;-;-;-;;nein
246290;Q;de:09671:99242:0:2;de:09671:99242;Schimborn, Gasthaus Rose, Mast 2;50,056296;9,187834;00000000;-;-;-;;BEG;-;-;-;;nein
246291;S;de:09671:99243;de:09671:99243;Schimborn, Weiberheim;50,056273;9,18257;09671143;Mömbris;;;;BEG;-;D925C70183AB;-;2026-12-11T00:00:00;nein
246292;Q;de:09671:99243:0:1;de:09671:99243;Schimborn, Weiberheim, Mast 1;50,056279;9,182489;00000000;-;-;-;;BEG;-;-;-;;nein
246293;Q;de:09671:99243:0:2;de:09671:99243;Schimborn, Weiberheim, Mast 2;50,056279;9,182758;00000000;-;-;-;;BEG;-;-;-;;nein
246294;S;de:09671:99244;de:09671:99244;Schimborn, Daxberger Straße;50,05377;9,189298;09671143;Mömbris;;;;BEG;-;D925C70183AC;-;2026-12-11T00:00:00;nein
246295;Q;de:09671:99244:0:1;de:09671:99244;Schimborn, Daxberger Str., Mast 1;50,053764;9,189307;00000000;-;-;-;;BEG;-;-;-;;nein
246296;Q;de:09671:99244:0:2;de:09671:99244;Schimborn, Daxberger Str., Mast 2;50,05381;9,189334;00000000;-;-;-;;BEG;-;-;-;;nein
246297;S;de:09671:99245;de:09671:99245;Sommerkahl, Frankenstraße;50,070384;9,247258;09671153;Sommerkahl;;;;BEG;-;D925C70183AD;-;2026-12-12T00:00:00;nein
